area,cabang,sku,periode,qty,event_flag,event_flag_lag1,holiday_count,holiday_count_lag1,rainfall_lag1,is_train,is_test,imputed,spike_flag,sample_weight,month,year,qtr
1A,02A,BUVW001KSB,2021-03-01,2154.0,0,0.0,4,1.0,0.0,1,0,0,1,0.8,3,2021,1
1A,02A,BUVW001KSB,2021-04-01,650.0,0,0.0,3,4.0,0.0,1,0,0,0,1.0,4,2021,2
1A,02A,BUVW001KSB,2021-05-01,660.0,0,0.0,5,3.0,0.0,1,0,0,0,1.0,5,2021,2
1A,02A,BUVW001KSB,2021-06-01,1676.0,1,0.0,1,5.0,0.0,1,0,0,0,1.0,6,2021,2
1A,02A,BUVW001KSB,2021-07-01,742.0,0,1.0,1,1.0,0.0,1,0,0,0,1.0,7,2021,3
1A,02A,BUVW001KSB,2021-08-01,686.0,0,0.0,2,1.0,0.0,1,0,0,0,1.0,8,2021,3
1A,02A,BUVW001KSB,2021-09-01,2061.0,0,0.0,0,2.0,0.0,1,0,0,0,1.0,9,2021,3
1A,02A,BUVW001KSB,2021-10-01,855.0,0,0.0,1,0.0,0.0,1,0,0,0,1.0,10,2021,4
1A,02A,BUVW001KSB,2021-11-01,2267.0,1,0.0,0,1.0,0.0,1,0,0,1,0.8,11,2021,4
1A,02A,BUVW001KSB,2021-12-01,975.0,0,1.0,1,0.0,0.0,1,0,0,0,1.0,12,2021,4
1A,02A,BUVW001KSB,2022-01-01,521.0,0,0.0,1,1.0,0.0,1,0,0,0,1.0,1,2022,1
1A,02A,BUVW001KSB,2022-02-01,1533.0,0,0.0,2,1.0,0.0,1,0,0,0,1.0,2,2022,1
1A,02A,BUVW001KSB,2022-03-01,1582.0,1,0.0,1,2.0,0.0,1,0,0,0,1.0,3,2022,1
1A,02A,BUVW001KSB,2022-04-01,1071.0,0,1.0,2,1.0,0.0,1,0,0,0,1.0,4,2022,2
1A,02A,BUVW001KSB,2022-05-01,633.0,0,0.0,8,2.0,0.0,1,0,0,0,1.0,5,2022,2
1A,02A,BUVW001KSB,2022-06-01,1669.0,0,0.0,1,8.0,0.0,1,0,0,0,1.0,6,2022,2
1A,02A,BUVW001KSB,2022-07-01,442.0,0,0.0,2,1.0,0.0,1,0,0,0,1.0,7,2022,3
1A,02A,BUVW001KSB,2022-08-01,679.0,0,0.0,1,2.0,0.0,1,0,0,0,1.0,8,2022,3
1A,02A,BUVW001KSB,2022-09-01,1117.0,1,0.0,0,1.0,0.0,1,0,0,0,1.0,9,2022,3
1A,02A,BUVW001KSB,2022-10-01,1228.0,0,1.0,1,0.0,0.0,1,0,0,0,1.0,10,2022,4
1A,02A,BUVW001KSB,2022-11-01,1142.0,1,0.0,0,1.0,0.0,1,0,0,0,1.0,11,2022,4
1A,02A,BUVW001KSB,2022-12-01,859.0,0,1.0,1,0.0,0.0,1,0,0,0,1.0,12,2022,4
1A,02A,BUVW001KSB,2023-01-01,466.0,0,0.0,3,1.0,0.0,1,0,0,0,1.0,1,2023,1
1A,02A,BUVW001KSB,2023-02-01,520.0,0,0.0,1,3.0,0.0,1,0,0,0,1.0,2,2023,1
1A,02A,BUVW001KSB,2023-03-01,1780.0,1,0.0,2,1.0,0.0,1,0,0,0,1.0,3,2023,1
1A,02A,BUVW001KSB,2023-04-01,716.0,0,1.0,8,2.0,0.0,1,0,0,0,1.0,4,2023,2
1A,02A,BUVW001KSB,2023-05-01,1441.0,0,0.0,2,8.0,0.0,1,0,0,0,1.0,5,2023,2
1A,02A,BUVW001KSB,2023-06-01,1274.0,1,0.0,6,2.0,0.0,1,0,0,0,1.0,6,2023,2
1A,02A,BUVW001KSB,2023-07-01,586.0,0,1.0,1,6.0,0.0,1,0,0,0,1.0,7,2023,3
1A,02A,BUVW001KSB,2023-08-01,470.0,0,0.0,1,1.0,0.0,1,0,0,0,1.0,8,2023,3
1A,02A,BUVW001KSB,2023-09-01,605.0,1,0.0,1,1.0,0.0,1,0,0,0,1.0,9,2023,3
1A,02A,BUVW001KSB,2023-10-01,1653.0,0,1.0,0,1.0,0.0,1,0,0,0,1.0,10,2023,4
1A,02A,BUVW001KSB,2023-11-01,578.0,0,0.0,0,0.0,0.0,1,0,0,0,1.0,11,2023,4
1A,02A,BUVW001KSB,2023-12-01,737.0,0,0.0,2,0.0,0.0,1,0,0,0,1.0,12,2023,4
