cabang,sku,n_months,qty_mean,qty_std,qty_max,qty_min,total_qty,zero_months,zero_ratio,cv,demand_level
14A,DOPQ001K002,41,1453.4146341463415,674.4455120915904,3289.0,408.0,59590.0,0,0.0,0.46404205396467874,1
14A,DOPQ001K007,41,955.5853658536586,362.0016557703677,1840.0,472.0,39179.0,0,0.0,0.37882712388231127,0
14A,DOPQ001K009,41,1620.7073170731708,663.6097966388999,3395.0,560.0,66449.0,0,0.0,0.40945690171702953,2
14A,DOPQ001K010,41,1282.1707317073171,548.7724893997067,3040.0,314.0,52569.0,0,0.0,0.42800266441035545,1
14A,DOPQ004K009,41,1025.6341463414635,486.82136128653815,2414.0,320.0,42051.0,0,0.0,0.47465401090932585,1
14A,FIJK250C,41,752.390243902439,219.86733250403304,1636.0,462.0,30848.0,0,0.0,0.2922251242435605,0
16C,ATUV005KSW,41,1511.1463414634147,807.9779254712226,3456.0,364.0,61957.0,0,0.0,0.5346788085982234,2
16C,BKLM001KHAR,41,2545.0243902439024,3317.8290001731925,16239.0,38.0,104346.0,0,0.0,1.3036531252477421,3
16C,BKLM001KPOX,41,2545.0243902439024,3317.8290001731925,16239.0,38.0,104346.0,0,0.0,1.3036531252477421,3
16C,BKLM200CHAR,41,3987.0243902439024,4810.97044517946,23420.0,238.0,163468.0,0,0.0,1.206656888518596,3
16C,BKLM200CPOX,41,3987.0243902439024,4810.97044517946,23420.0,238.0,163468.0,0,0.0,1.206656888518596,3
16C,BNOP400CPOX,41,1621.0975609756097,1477.4732621079484,6414.0,182.0,66465.0,0,0.0,0.9114030504239207,2
16C,BUVW001KSB,41,2065.1463414634145,1850.8823377105255,10174.0,215.0,84671.0,0,0.0,0.8962475445681704,2
16C,BUVW001KSW,41,6599.121951219512,6821.190963442975,28441.0,727.0,270564.0,0,0.0,1.0336512969248015,3
16C,CFGH001K711,41,1313.1463414634147,890.7017896292679,3850.0,450.0,53839.0,0,0.0,0.6782959077025944,1
16C,CKLM001KS600,41,1479.1463414634147,1367.684677858453,5928.0,32.0,60645.0,0,0.0,0.9246446004154764,1
16C,DOPQ001K002,41,4129.804878048781,4438.600236670973,16351.0,386.0,169322.0,0,0.0,1.074772384589775,3
16C,DOPQ001K009,46,2020.695652173913,2042.721592707633,10086.0,168.0,92952.0,0,0.0,1.0109001771296058,2
16C,DOPQ004K002,41,2246.7073170731705,2232.4719286466116,7751.0,187.0,92115.0,0,0.0,0.9936638883407815,3
16C,EVWX200CHAR,41,3689.0731707317073,3266.3433483809067,11964.0,546.0,151252.0,0,0.0,0.8854102906646998,3
16C,FIJK250C,41,1472.4878048780488,901.993933514833,3768.0,355.0,60372.0,0,0.0,0.6125646205874934,1
17A,BKLM200CHAR,41,714.9756097560976,207.021072333818,1255.0,383.0,29314.0,0,0.0,0.2895498384965047,0
17A,BUVW001KSW,41,917.7560975609756,333.6906337079155,1576.0,374.0,37628.0,0,0.0,0.36359402524780843,0
17A,DOPQ001K002,46,2043.304347826087,749.309752581674,4292.0,870.0,93992.0,0,0.0,0.36671470570641124,2
17A,DOPQ001K003,41,1847.6097560975609,638.7290457638818,3469.0,880.0,75752.0,0,0.0,0.3457056034998304,2
17A,DOPQ001K009,41,1480.560975609756,518.0704608825179,2919.0,758.0,60703.0,0,0.0,0.34991497778006414,2
17A,DOPQ001K010,41,831.9268292682926,311.2740264014893,1889.0,408.0,34109.0,0,0.0,0.3741603413310582,0
17A,DOPQ004K002,41,1808.4146341463415,669.2013514484918,3524.0,566.0,74145.0,0,0.0,0.3700486264668981,2
17A,DOPQ004K003,41,791.219512195122,273.3919816120365,1495.0,338.0,32440.0,0,0.0,0.3455324058598488,0
17A,DOPQ004K009,41,1447.6097560975609,514.7828123611347,2639.0,708.0,59352.0,0,0.0,0.35560883048265474,1
17A,DOPQ004K010,41,849.2439024390244,307.16109620912323,1631.0,430.0,34819.0,0,0.0,0.36168772637278646,0
23A,AUVW001KA,41,2865.1951219512193,1554.003832355509,6936.0,1031.0,117473.0,0,0.0,0.5423727760981322,3
23A,AUVW001KASP,41,2367.682926829268,893.1627074342163,4998.0,990.0,97075.0,0,0.0,0.3772307082647733,3
23A,BKLM200CHAR,41,3455.8536585365855,1885.0312406028659,9332.0,1504.0,141690.0,0,0.0,0.5454603773358564,3
23A,BKLM200CPOX,41,3455.8536585365855,1885.0312406028659,9332.0,1504.0,141690.0,0,0.0,0.5454603773358564,3
23A,BNOP400CHAR,41,1985.3902439024391,646.3025946895455,3910.0,1079.0,81401.0,0,0.0,0.3255292488086309,2
23A,BNOP400CPOX,41,1985.3902439024391,646.3025946895455,3910.0,1079.0,81401.0,0,0.0,0.3255292488086309,2
23A,BUVW001KSB,41,1976.3902439024391,709.8277917230623,4638.0,1010.0,81032.0,0,0.0,0.35915366103077245,2
23A,BUVW001KSW,46,5767.04347826087,2467.541628211472,14506.0,2448.0,265284.0,0,0.0,0.42786943388115267,3
23A,BUVW200CSW,41,1327.9024390243903,342.5533392683575,2340.0,840.0,54444.0,0,0.0,0.2579657429652975,1
23A,FIJK250C,41,1298.780487804878,352.8349126854599,2729.0,790.0,53250.0,0,0.0,0.27166631774842925,1
29A,APQR005KSW,41,961.5365853658536,339.3205046531211,2081.0,492.0,39423.0,0,0.0,0.35289401341293064,0
29A,BKLM200CHAR,41,1361.0731707317073,1361.206953226509,6229.0,228.0,55804.0,0,0.0,1.0000982919196988,1
29A,BKLM200CPOX,41,1361.0731707317073,1361.206953226509,6229.0,228.0,55804.0,0,0.0,1.0000982919196988,1
29A,BNOP400CHAR,41,888.8048780487804,652.7648205713982,3012.0,267.0,36441.0,0,0.0,0.7344298357187599,0
29A,BNOP400CPOX,41,888.8048780487804,652.7648205713982,3012.0,267.0,36441.0,0,0.0,0.7344298357187599,0
29A,BUVW001K192,41,687.9268292682926,501.272649874492,2782.0,126.0,28205.0,0,0.0,0.7286714640969393,0
29A,BUVW001K306,41,904.0487804878048,537.4846486747091,3300.0,351.0,37066.0,0,0.0,0.5945305831668665,0
29A,BUVW001KSB,41,2053.4634146341464,1436.3931929934954,8437.0,556.0,84192.0,0,0.0,0.6994978253602874,2
29A,BUVW001KSW,46,3942.3695652173915,2746.944284988488,15225.0,1104.0,181349.0,0,0.0,0.6967749318136326,3
29A,BUVW200CSB,41,1017.3658536585366,445.9296893063728,2544.0,504.0,41712.0,0,0.0,0.43831792437575,1
29A,BUVW200CSW,41,1115.7073170731708,575.6967189372562,2664.0,396.0,45744.0,0,0.0,0.515992599607107,1
29A,BVWX001KA,41,1027.219512195122,729.7762503738774,3732.0,408.0,42116.0,0,0.0,0.7104384619937546,1
29A,BVWX001KBAS,41,1668.9268292682927,1091.8507542298055,5784.0,504.0,68426.0,0,0.0,0.654223261967995,2
29A,FIJK250C,41,583.9756097560976,291.7658725592216,1306.0,168.0,23943.0,0,0.0,0.49961996303420975,0
29A,FQRS001KLOO,41,690.6341463414634,294.3851011937901,1608.0,228.0,28316.0,0,0.0,0.4262533249380348,0
