cabang,sku,feature,corr
05A,CKLM001KS607,event_flag,0.04626716973893304
05A,CKLM001KS607,event_flag_lag1,-0.08014161617410982
05A,CKLM001KS607,holiday_count,0.05610810418025108
05A,CKLM001KS607,holiday_count_lag1,0.1967761755837283
05A,CKLM001KS607,rainfall_lag1,
05A,CKLM001KS610,event_flag,-0.054096613529065744
05A,CKLM001KS610,event_flag_lag1,0.0302867790167752
05A,CKLM001KS610,holiday_count,0.005517844733994954
05A,CKLM001KS610,holiday_count_lag1,0.22917610792616913
05A,CKLM001KS610,rainfall_lag1,
05A,DKLM350C,event_flag,-0.09593515073760227
05A,DKLM350C,event_flag_lag1,-0.3671801991177857
05A,DKLM350C,holiday_count,-0.2369801846042661
05A,DKLM350C,holiday_count_lag1,-0.12820049962852695
05A,DKLM350C,rainfall_lag1,
05A,DOPQ001K009,event_flag,0.10750130269582805
05A,DOPQ001K009,event_flag_lag1,-0.16541021041559925
05A,DOPQ001K009,holiday_count,-0.13903257852305187
05A,DOPQ001K009,holiday_count_lag1,-0.10537293341921096
05A,DOPQ001K009,rainfall_lag1,
05A,DOPQ004K009,event_flag,0.35664346286913884
05A,DOPQ004K009,event_flag_lag1,-0.15792892424412766
05A,DOPQ004K009,holiday_count,-0.040810479379970316
05A,DOPQ004K009,holiday_count_lag1,-0.12454813190124328
05A,DOPQ004K009,rainfall_lag1,
05A,FIJK250C,event_flag,-0.08206268155426703
05A,FIJK250C,event_flag_lag1,-0.3958451920743883
05A,FIJK250C,holiday_count,-0.3382452312540547
05A,FIJK250C,holiday_count_lag1,0.08516563834011494
05A,FIJK250C,rainfall_lag1,
05A,FSTU001KSW,event_flag,-0.02921651383463319
05A,FSTU001KSW,event_flag_lag1,-0.00924918509684798
05A,FSTU001KSW,holiday_count,0.004742186602290431
05A,FSTU001KSW,holiday_count_lag1,0.027985339245323683
05A,FSTU001KSW,rainfall_lag1,
13A,BBCD005KSW,event_flag,0.258918484817968
13A,BBCD005KSW,event_flag_lag1,-0.13249594192741482
13A,BBCD005KSW,holiday_count,-0.21426092093692886
13A,BBCD005KSW,holiday_count_lag1,0.10129867250423351
13A,BBCD005KSW,rainfall_lag1,
13A,BUVW001KSB,event_flag,0.3716770966155338
13A,BUVW001KSB,event_flag_lag1,-0.15211232386027101
13A,BUVW001KSB,holiday_count,-0.15434397869521152
13A,BUVW001KSB,holiday_count_lag1,0.20789912062670707
13A,BUVW001KSB,rainfall_lag1,
13A,BUVW001KSW,event_flag,0.24525138262450671
13A,BUVW001KSW,event_flag_lag1,-0.1624748745172486
13A,BUVW001KSW,holiday_count,-0.045536882550898446
13A,BUVW001KSW,holiday_count_lag1,0.1382768846360266
13A,BUVW001KSW,rainfall_lag1,
13A,BUVW100CSB,event_flag,0.26251565145544875
13A,BUVW100CSB,event_flag_lag1,0.009230520370480258
13A,BUVW100CSB,holiday_count,-0.1020093743573877
13A,BUVW100CSB,holiday_count_lag1,0.3095306091610767
13A,BUVW100CSB,rainfall_lag1,
13A,BUVW100CSW,event_flag,0.1578225546873691
13A,BUVW100CSW,event_flag_lag1,0.01750272841966407
13A,BUVW100CSW,holiday_count,-0.07221465388126286
13A,BUVW100CSW,holiday_count_lag1,0.2802791335294401
13A,BUVW100CSW,rainfall_lag1,
13A,DKLM350C,event_flag,0.04459970443167015
13A,DKLM350C,event_flag_lag1,-0.18936878051564865
13A,DKLM350C,holiday_count,-0.09449630105705309
13A,DKLM350C,holiday_count_lag1,-0.07034460223502653
13A,DKLM350C,rainfall_lag1,
13A,DOPQ001K002,event_flag,0.20479673718284072
13A,DOPQ001K002,event_flag_lag1,-0.25208129767711945
13A,DOPQ001K002,holiday_count,0.05343348275205636
13A,DOPQ001K002,holiday_count_lag1,-0.10383686339858846
13A,DOPQ001K002,rainfall_lag1,
13A,DOPQ001K009,event_flag,0.34242655230481284
13A,DOPQ001K009,event_flag_lag1,-0.20398841372284882
13A,DOPQ001K009,holiday_count,-0.06214490878869706
13A,DOPQ001K009,holiday_count_lag1,0.13444795003439927
13A,DOPQ001K009,rainfall_lag1,
13A,DOPQ004K002,event_flag,0.2866086459456559
13A,DOPQ004K002,event_flag_lag1,-0.19420711052438852
13A,DOPQ004K002,holiday_count,0.023316064411620954
13A,DOPQ004K002,holiday_count_lag1,-0.10854848518053214
13A,DOPQ004K002,rainfall_lag1,
13A,FSTU001KSW,event_flag,0.3606319859040844
13A,FSTU001KSW,event_flag_lag1,-0.18695028575181857
13A,FSTU001KSW,holiday_count,-0.04960543552696771
13A,FSTU001KSW,holiday_count_lag1,0.11626748175533651
13A,FSTU001KSW,rainfall_lag1,
13I,BBCD005KSW,event_flag,0.3313012124207624
13I,BBCD005KSW,event_flag_lag1,-0.5155520414576363
13I,BBCD005KSW,holiday_count,-0.17087553395352353
13I,BBCD005KSW,holiday_count_lag1,0.13708398306569464
13I,BBCD005KSW,rainfall_lag1,
13I,BUVW001KSB,event_flag,0.37298012297179123
13I,BUVW001KSB,event_flag_lag1,-0.3723175975577962
13I,BUVW001KSB,holiday_count,-0.10983656706239096
13I,BUVW001KSB,holiday_count_lag1,0.03146154638415949
13I,BUVW001KSB,rainfall_lag1,
13I,BUVW001KSW,event_flag,0.5821058901410994
13I,BUVW001KSW,event_flag_lag1,-0.39442571073010785
13I,BUVW001KSW,holiday_count,-0.09409835475965407
13I,BUVW001KSW,holiday_count_lag1,0.027538305836921982
13I,BUVW001KSW,rainfall_lag1,
13I,BUVW100CSB,event_flag,0.14056855706296761
13I,BUVW100CSB,event_flag_lag1,-0.4163219365168246
13I,BUVW100CSB,holiday_count,-0.13036215025886672
13I,BUVW100CSB,holiday_count_lag1,0.13402920630901435
13I,BUVW100CSB,rainfall_lag1,
13I,BUVW200CSB,event_flag,0.24234471706617883
13I,BUVW200CSB,event_flag_lag1,-0.4118181033683878
13I,BUVW200CSB,holiday_count,0.04616259023554724
13I,BUVW200CSB,holiday_count_lag1,0.08922296888715717
13I,BUVW200CSB,rainfall_lag1,
13I,BUVW200CSW,event_flag,0.20498529755351627
13I,BUVW200CSW,event_flag_lag1,-0.40333468495978647
13I,BUVW200CSW,holiday_count,-0.007390064087590017
13I,BUVW200CSW,holiday_count_lag1,0.19493521143789824
13I,BUVW200CSW,rainfall_lag1,
13I,BUVW500CSB,event_flag,0.3160118619332156
13I,BUVW500CSB,event_flag_lag1,-0.4365739911920263
13I,BUVW500CSB,holiday_count,-0.09882645243236628
13I,BUVW500CSB,holiday_count_lag1,0.12883599544881974
13I,BUVW500CSB,rainfall_lag1,
13I,BUVW500CSW,event_flag,0.44314540581010575
13I,BUVW500CSW,event_flag_lag1,-0.44520905627208285
13I,BUVW500CSW,holiday_count,0.01515408258081578
13I,BUVW500CSW,holiday_count_lag1,0.07440161545557798
13I,BUVW500CSW,rainfall_lag1,
13I,CFGH001K711,event_flag,0.5468826856431898
13I,CFGH001K711,event_flag_lag1,-0.35763992108034026
13I,CFGH001K711,holiday_count,-0.14738065267565045
13I,CFGH001K711,holiday_count_lag1,0.20723083632477213
13I,CFGH001K711,rainfall_lag1,
