cabang,n_sku,median_zero_ratio,median_n_train,frac_seasonal,frac_tft_use,median_lgbm_max_depth,median_lgbm_min_data_in_leaf
02A,15,0.0,41.0,0.6,1.0,6.0,10.0
05A,15,0.0,41.0,0.26666666666666666,1.0,6.0,10.0
13A,10,0.0,41.0,0.0,1.0,6.0,10.0
13I,15,0.0,41.0,0.13333333333333333,1.0,6.0,10.0
14A,15,0.0,41.0,0.3333333333333333,1.0,6.0,10.0
16C,15,0.0,41.0,0.0,1.0,6.0,10.0
17A,10,0.0,41.0,0.0,1.0,6.0,10.0
23A,10,0.0,41.0,0.0,1.0,6.0,10.0
29A,15,0.0,41.0,0.0,1.0,6.0,10.0
