cabang,sku,n_train,zero_ratio,imputed_ratio,spike_ratio,qty_mean,qty_median,qty_std,qty_min,qty_max
13I,DOPQ001K002,41.0,0.0,0.0,0.0,4667.073170731707,3191.0,3111.994701073926,777.0,11353.0
13I,DOPQ001K009,41.0,0.0,0.0,0.024390243902439025,2712.1463414634145,2083.0,1586.5099678378263,400.0,6116.0
13I,DOPQ004K002,41.0,0.0,0.0,0.04878048780487805,1569.341463414634,1061.0,1073.2725564775265,265.0,4040.0
13I,DOPQ004K009,41.0,0.0,0.0,0.04878048780487805,1224.9512195121952,994.0,669.8724487251103,362.0,2712.0
13I,FIJK250C,41.0,0.0,0.0,0.024390243902439025,1373.4146341463415,1352.0,427.5242084145503,796.0,2592.0
14A,BBCD005KSW,41.0,0.0,0.0,0.0975609756097561,1666.7073170731708,1272.0,896.2299438175015,575.0,4158.0
14A,BUVW001KSB,41.0,0.0,0.0,0.0,1846.8292682926829,1612.0,757.4167248760428,758.0,3400.0
14A,BUVW001KSW,41.0,0.0,0.0,0.0,4218.048780487805,3763.0,1598.9555802338525,2204.0,7536.0
14A,BUVW050CSB,41.0,0.0,0.0,0.0,960.2926829268292,972.0,292.86500677807504,396.0,1644.0
14A,BUVW100C192,41.0,0.0,0.0,0.07317073170731707,1152.2926829268292,960.0,662.4580833495218,444.0,3876.0
14A,BUVW100CSB,41.0,0.0,0.0,0.0,2496.5853658536585,2412.0,658.3394631802713,1332.0,4008.0
14A,BUVW100CSW,41.0,0.0,0.0,0.024390243902439025,1949.8536585365853,1836.0,733.4008985873828,840.0,4308.0
14A,BUVW200CSB,41.0,0.0,0.0,0.0,1395.8048780487804,1392.0,457.52460149767876,600.0,2472.0
14A,BUVW200CSW,41.0,0.0,0.0,0.024390243902439025,1428.2926829268292,1368.0,544.4449579113777,588.0,3132.0
14A,DOPQ001K002,41.0,0.0,0.0,0.0,1453.4146341463415,1364.0,674.4455120915906,408.0,3289.0
14A,DOPQ001K007,41.0,0.0,0.0,0.0,955.5853658536586,891.0,362.00165577036773,472.0,1840.0
14A,DOPQ001K009,41.0,0.0,0.0,0.04878048780487805,1620.7073170731708,1560.0,663.6097966388999,560.0,3395.0
14A,DOPQ001K010,41.0,0.0,0.0,0.024390243902439025,1282.1707317073171,1174.0,548.7724893997067,314.0,3040.0
14A,DOPQ004K009,41.0,0.0,0.0,0.0,1025.6341463414635,967.0,486.8213612865381,320.0,2414.0
14A,FIJK250C,41.0,0.0,0.0,0.024390243902439025,752.390243902439,720.0,219.86733250403304,462.0,1636.0
16C,ATUV005KSW,41.0,0.0,0.0,0.0,1511.1463414634147,1484.0,807.9779254712225,364.0,3456.0
16C,BKLM001KHAR,41.0,0.0,0.0,0.0975609756097561,2545.0243902439024,1104.0,3317.829000173192,38.0,16239.0
16C,BKLM001KPOX,41.0,0.0,0.0,0.0975609756097561,2545.0243902439024,1104.0,3317.829000173192,38.0,16239.0
16C,BKLM200CHAR,41.0,0.0,0.0,0.0975609756097561,3987.0243902439024,2237.0,4810.97044517946,238.0,23420.0
16C,BKLM200CPOX,41.0,0.0,0.0,0.0975609756097561,3987.0243902439024,2237.0,4810.97044517946,238.0,23420.0
16C,BNOP400CPOX,41.0,0.0,0.0,0.0975609756097561,1621.0975609756097,1094.0,1477.4732621079484,182.0,6414.0
16C,BUVW001KSB,41.0,0.0,0.0,0.0975609756097561,2065.1463414634145,1496.0,1850.8823377105257,215.0,10174.0
16C,BUVW001KSW,41.0,0.0,0.0,0.0975609756097561,6599.121951219512,4029.0,6821.190963442974,727.0,28441.0
16C,CFGH001K711,41.0,0.0,0.0,0.0975609756097561,1313.1463414634147,942.0,890.7017896292678,450.0,3850.0
16C,CKLM001KS600,41.0,0.0,0.0,0.0975609756097561,1479.1463414634147,1100.0,1367.6846778584531,32.0,5928.0
16C,DOPQ001K002,41.0,0.0,0.0,0.0975609756097561,4129.804878048781,2224.0,4438.600236670973,386.0,16351.0
16C,DOPQ001K009,41.0,0.0,0.0,0.12195121951219512,2095.439024390244,1366.0,2121.4389697653396,168.0,10086.0
16C,DOPQ004K002,41.0,0.0,0.0,0.0975609756097561,2246.7073170731705,1369.0,2232.4719286466116,187.0,7751.0
16C,EVWX200CHAR,41.0,0.0,0.0,0.0975609756097561,3689.0731707317073,2154.0,3266.3433483809067,546.0,11964.0
16C,FIJK250C,41.0,0.0,0.0,0.0975609756097561,1472.4878048780488,1180.0,901.993933514833,355.0,3768.0
17A,BKLM200CHAR,41.0,0.0,0.0,0.0,714.9756097560976,700.0,207.02107233381798,383.0,1255.0
17A,BUVW001KSW,41.0,0.0,0.0,0.0,917.7560975609756,834.0,333.69063370791554,374.0,1576.0
17A,DOPQ001K002,41.0,0.0,0.0,0.024390243902439025,2124.8048780487807,1948.0,740.5529427229425,870.0,4292.0
17A,DOPQ001K003,41.0,0.0,0.0,0.024390243902439025,1847.6097560975609,1778.0,638.7290457638818,880.0,3469.0
17A,DOPQ001K009,41.0,0.0,0.0,0.024390243902439025,1480.560975609756,1361.0,518.0704608825178,758.0,2919.0
17A,DOPQ001K010,41.0,0.0,0.0,0.12195121951219512,831.9268292682926,803.0,311.2740264014894,408.0,1889.0
17A,DOPQ004K002,41.0,0.0,0.0,0.0,1808.4146341463415,1751.0,669.2013514484918,566.0,3524.0
17A,DOPQ004K003,41.0,0.0,0.0,0.0,791.219512195122,731.0,273.3919816120365,338.0,1495.0
17A,DOPQ004K009,41.0,0.0,0.0,0.0,1447.6097560975609,1389.0,514.7828123611346,708.0,2639.0
17A,DOPQ004K010,41.0,0.0,0.0,0.0,849.2439024390244,809.0,307.16109620912323,430.0,1631.0
23A,AUVW001KA,41.0,0.0,0.0,0.0975609756097561,2865.1951219512193,2478.0,1554.0038323555093,1031.0,6936.0
23A,AUVW001KASP,41.0,0.0,0.0,0.04878048780487805,2367.682926829268,2177.0,893.1627074342164,990.0,4998.0
23A,BKLM200CHAR,41.0,0.0,0.0,0.0975609756097561,3455.8536585365855,2894.0,1885.031240602866,1504.0,9332.0
23A,BKLM200CPOX,41.0,0.0,0.0,0.0975609756097561,3455.8536585365855,2894.0,1885.031240602866,1504.0,9332.0
