cabang,sku,n_train,n_zero,zero_ratio,imputed_ratio,spike_ratio,qty_mean,qty_median,qty_std,qty_min,qty_max,scale_bucket,zero_bucket
13I,BWXY500C,41.0,0.0,0.0,0.0,0.12195121951219512,193.4390243902439,145.0,135.74591131604808,48.0,602.0,high,dense
13I,BYZA001K9724,40.0,22.0,0.55,0.55,0.025,4.2,0.0,5.893064154428079,0.0,18.0,low,sparse
13I,CEFG001KPTH,41.0,1.0,0.024390243902439025,0.024390243902439025,0.0,130.3170731707317,112.0,104.50776024401017,0.0,372.0,high,dense
13I,CFGH001K711,41.0,0.0,0.0,0.0,0.04878048780487805,2634.9268292682927,1882.0,1858.51773451646,699.0,7363.0,high,dense
13I,CFGH001K724,41.0,0.0,0.0,0.0,0.0,2269.512195121951,1984.0,1499.5727411824878,550.0,5095.0,high,dense
13I,CFGH005K711,41.0,0.0,0.0,0.0,0.0,555.7317073170732,434.0,410.76355877744584,106.0,1569.0,high,dense
13I,CFGH005K724,41.0,0.0,0.0,0.0,0.0,542.609756097561,462.0,352.70659747506716,106.0,1357.0,high,dense
13I,CFGH020KP711,41.0,0.0,0.0,0.0,0.024390243902439025,106.14634146341463,88.0,87.31596674595367,7.0,409.0,high,dense
13I,CFGH020KP724,41.0,0.0,0.0,0.0,0.0,142.3658536585366,134.0,102.83354416180572,13.0,401.0,high,dense
13I,CHIJ005K,41.0,0.0,0.0,0.0,0.024390243902439025,119.92682926829268,107.0,65.0712648731767,40.0,408.0,high,dense
13I,CHIJ025KP,40.0,16.0,0.4,0.4,0.05,1.625,1.0,1.7348243094375246,0.0,6.0,low,semi_sparse
13I,CKLM001KS600,41.0,0.0,0.0,0.0,0.0,208.6829268292683,213.0,57.514102194327194,85.0,324.0,high,dense
13I,CKLM001KS601,41.0,0.0,0.0,0.0,0.0,160.2439024390244,164.0,50.17358891279598,57.0,282.0,high,dense
13I,CKLM001KS603,41.0,0.0,0.0,0.0,0.0,78.1951219512195,75.0,22.11246199792678,36.0,124.0,high,dense
13I,CKLM001KS606,40.0,2.0,0.05,0.05,0.1,9.925,6.0,9.830323311583216,0.0,38.0,medium,dense
13I,CKLM001KS607,41.0,2.0,0.04878048780487805,0.04878048780487805,0.024390243902439025,181.609756097561,188.0,75.75251746601577,0.0,427.0,high,dense
13I,CKLM001KS609,41.0,0.0,0.0,0.0,0.0,58.80487804878049,51.0,25.459005785964152,15.0,110.0,high,dense
13I,CKLM001KS610,41.0,0.0,0.0,0.0,0.0,192.7560975609756,189.0,52.31241749709378,94.0,315.0,high,dense
13I,CKLM001KS611,41.0,0.0,0.0,0.0,0.0,23.26829268292683,20.0,14.214472185494442,3.0,56.0,medium,dense
13I,CKLM001KS615,41.0,0.0,0.0,0.0,0.0,65.53658536585365,63.0,19.274461809575396,29.0,106.0,high,dense
13I,CKLM001KSPOL,41.0,0.0,0.0,0.0,0.0,84.6829268292683,87.0,27.489488013048046,35.0,141.0,high,dense
13I,CKLM001KSW600,41.0,0.0,0.0,0.0,0.07317073170731707,23.097560975609756,21.0,16.97616693787025,2.0,97.0,medium,dense
13I,CKLM001KSW601,41.0,0.0,0.0,0.0,0.024390243902439025,16.926829268292682,16.0,8.388653777282856,2.0,38.0,medium,dense
13I,CKLM001KSW603,41.0,1.0,0.024390243902439025,0.024390243902439025,0.024390243902439025,16.51219512195122,16.0,9.083286715775056,0.0,41.0,medium,dense
13I,CKLM001KSW607,41.0,0.0,0.0,0.0,0.024390243902439025,27.0,24.0,16.424067705656842,2.0,82.0,medium,dense
13I,CKLM001KSW610,41.0,0.0,0.0,0.0,0.07317073170731707,37.53658536585366,32.0,23.876869100633368,10.0,135.0,medium,dense
13I,CKLM001KSW611,41.0,6.0,0.14634146341463414,0.14634146341463414,0.024390243902439025,4.7560975609756095,4.0,3.9986278134184863,0.0,14.0,low,dense
13I,CKLM001KSW615,41.0,3.0,0.07317073170731707,0.07317073170731707,0.04878048780487805,7.853658536585366,6.0,7.551691782672794,0.0,39.0,medium,dense
13I,CKLM001KSWPOL,41.0,1.0,0.024390243902439025,0.024390243902439025,0.04878048780487805,13.975609756097562,10.0,11.87326367280296,0.0,45.0,medium,dense
