cabang,sku,n_months,nonzero_months,total_qty,qty_12m,qty_6m,has_may24,zero_ratio_train,n_train,last_nz,months_since_last_nz,alive_recent,eligible_model
23A,BBCD025KP771,39,36,210.0,66.0,25.0,False,0.07692307692307693,39.0,2024-03-01,2,1,0
23A,BBCD025KP772,33,10,15.0,5.0,4.0,False,0.696969696969697,33.0,2023-12-01,5,0,0
23A,BBCD025KP775,34,10,21.0,6.0,4.0,False,0.7058823529411765,34.0,2023-11-01,6,0,0
23A,BBCD025KP776,33,20,54.0,25.0,19.0,False,0.3939393939393939,33.0,2023-10-01,7,0,0
23A,BBCD025KP812,26,13,45.0,28.0,20.0,False,0.5,26.0,2023-11-01,6,0,0
23A,BBCD025KP816,39,9,14.0,1.0,1.0,False,0.7692307692307693,39.0,2024-04-01,1,1,0
23A,BBCD025KP818,26,10,21.0,12.0,4.0,False,0.6153846153846154,26.0,2023-04-01,13,0,0
23A,BBCD025KP831,37,24,56.0,18.0,5.0,False,0.35135135135135137,37.0,2024-02-01,3,1,0
23A,BBCD025KP892,35,17,100.0,26.0,14.0,False,0.5142857142857142,35.0,2023-11-01,6,0,0
23A,BBCD025KP893,40,25,66.0,12.0,4.0,False,0.375,40.0,2024-04-01,1,1,0
23A,BBCD025KP900,36,18,118.0,33.0,13.0,False,0.5,36.0,2024-02-01,3,1,0
23A,BBCD025KPA1501,1,1,3.0,3.0,3.0,False,0.0,1.0,2021-10-01,31,0,0
23A,BBCD025KPA40115,1,1,2.0,2.0,2.0,False,0.0,1.0,2021-10-01,31,0,0
23A,BBCD025KPA40553,20,2,7.0,5.0,5.0,False,0.9,20.0,2023-05-01,12,0,0
23A,BBCD025KPA44195,26,10,18.0,7.0,5.0,False,0.6153846153846154,26.0,2023-11-01,6,0,0
23A,BBCD025KPA44475,27,5,9.0,2.0,2.0,False,0.8148148148148148,27.0,2023-12-01,5,0,0
23A,BBCD025KPA44504,27,3,3.0,1.0,1.0,False,0.8888888888888888,27.0,2023-12-01,5,0,0
23A,BBCD025KPA44505,22,3,6.0,4.0,2.0,False,0.8636363636363636,22.0,2023-07-01,10,0,0
23A,BBCD025KPA44544,1,1,4.0,4.0,4.0,False,0.0,1.0,2021-10-01,31,0,0
23A,BBCD025KPA44555,20,3,3.0,2.0,2.0,False,0.85,20.0,2023-05-01,12,0,0
23A,BBCD025KPAT1,38,26,194.0,76.0,25.0,False,0.3157894736842105,38.0,2024-04-01,1,1,0
23A,BBCD025KPAT4,35,8,12.0,4.0,3.0,False,0.7714285714285715,35.0,2023-11-01,6,0,0
23A,BBCD025KPAT5,31,9,19.0,8.0,6.0,False,0.7096774193548387,31.0,2023-08-01,9,0,0
23A,BBCD025KPBA,40,40,1826.0,486.0,227.0,False,0.0,40.0,2024-04-01,1,1,0
23A,BBCD025KPBB,40,40,606.0,136.0,62.0,False,0.0,40.0,2024-04-01,1,1,0
23A,BBCD025KPBC,40,39,303.0,62.0,23.0,False,0.025,40.0,2024-04-01,1,1,0
23A,BBCD025KPMW,38,23,427.0,33.0,19.0,False,0.39473684210526316,38.0,2024-02-01,3,1,0
23A,BBCD025KPPROO3003,1,1,5.0,5.0,5.0,False,0.0,1.0,2022-08-01,21,0,0
23A,BBCD025KPPS7,1,1,1.0,1.0,1.0,False,0.0,1.0,2021-09-01,32,0,0
23A,BBCD025KPPS8,33,13,25.0,6.0,2.0,False,0.6060606060606061,33.0,2023-10-01,7,0,0
23A,BBCD025KPSB,26,6,8.0,3.0,2.0,False,0.7692307692307693,26.0,2023-11-01,6,0,0
23A,BBCD025KPSW,40,40,6115.0,1600.0,562.0,False,0.0,40.0,2024-04-01,1,1,0
23A,BCDE005K601,39,15,79.0,4.0,2.0,False,0.6153846153846154,39.0,2024-03-01,2,1,0
23A,BCDE005K670,33,12,51.0,3.0,3.0,False,0.6363636363636364,33.0,2023-11-01,6,0,0
23A,BCDE005K671,27,13,62.0,16.0,6.0,False,0.5185185185185185,27.0,2023-05-01,12,0,0
23A,BCDE005K710,23,10,62.0,18.0,4.0,False,0.5652173913043478,23.0,2022-11-01,18,0,0
23A,BCDE005K745,21,9,48.0,8.0,6.0,False,0.5714285714285714,21.0,2022-11-01,18,0,0
23A,BCDE005K750,31,8,31.0,3.0,3.0,False,0.7419354838709677,31.0,2023-09-01,8,0,0
23A,BCDE005K770,31,14,98.0,16.0,4.0,False,0.5483870967741935,31.0,2023-09-01,8,0,0
23A,BCDE005K831,21,10,49.0,15.0,4.0,False,0.5238095238095238,21.0,2022-11-01,18,0,0
23A,BCDE005K888P20006,1,1,3.0,3.0,3.0,False,0.0,1.0,2022-12-01,17,0,0
23A,BCDE005KBA,40,38,966.0,136.0,60.0,False,0.05,40.0,2024-04-01,1,1,0
23A,BCDE005KBB,40,38,1043.0,88.0,43.0,False,0.05,40.0,2024-04-01,1,1,0
23A,BCDE005KBC,40,39,1434.0,197.0,78.0,False,0.025,40.0,2024-04-01,1,1,0
23A,BCDE005KPROG31004,1,1,2.0,2.0,2.0,False,0.0,1.0,2022-04-01,25,0,0
23A,BCDE005KSW,39,39,791.0,151.0,61.0,False,0.0,39.0,2024-03-01,2,1,0
23A,BCDE005KY1005,3,2,12.0,12.0,12.0,False,0.3333333333333333,3.0,2023-11-01,6,0,0
23A,BCDE025KP601,9,4,8.0,8.0,4.0,False,0.5555555555555556,9.0,2021-10-01,31,0,0
23A,BCDE025KP670,39,9,22.0,3.0,3.0,False,0.7692307692307693,39.0,2024-03-01,2,1,0
23A,BCDE025KP671,26,3,4.0,3.0,2.0,False,0.8846153846153846,26.0,2023-05-01,12,0,0
23A,BCDE025KP710,27,2,2.0,1.0,1.0,False,0.9259259259259259,27.0,2023-06-01,11,0,0
23A,BCDE025KP745,8,2,3.0,3.0,2.0,False,0.75,8.0,2021-11-01,30,0,0
23A,BCDE025KP750,31,2,4.0,3.0,3.0,False,0.9354838709677419,31.0,2023-10-01,7,0,0
23A,BCDE025KP770,31,6,9.0,3.0,3.0,False,0.8064516129032258,31.0,2023-10-01,7,0,0
23A,BCDE025KP831,33,7,16.0,1.0,1.0,False,0.7878787878787878,33.0,2023-11-01,6,0,0
23A,BCDE025KP888G9004,1,1,1.0,1.0,1.0,False,0.0,1.0,2024-03-01,2,1,0
23A,BCDE025KPBA,40,37,244.0,65.0,33.0,False,0.075,40.0,2024-04-01,1,1,0
23A,BCDE025KPBB,40,30,156.0,33.0,12.0,False,0.25,40.0,2024-04-01,1,1,0
23A,BCDE025KPBC,40,37,184.0,26.0,7.0,False,0.075,40.0,2024-04-01,1,1,0
23A,BCDE025KPSW,40,33,199.0,32.0,12.0,False,0.175,40.0,2024-04-01,1,1,0
23A,BEFG001K,32,32,3681.0,1140.0,631.0,False,0.0,32.0,2023-08-01,9,0,0
23A,BEFG005K,27,6,31.0,13.0,13.0,False,0.7777777777777778,27.0,2023-05-01,12,0,0
23A,BFGH001K601,1,0,0.0,0.0,0.0,False,0.0,0.0,,999,0,0
23A,BFGH001K735,2,1,2.0,2.0,2.0,False,0.0,1.0,2023-11-01,6,0,0
23A,BFGH001K745,5,2,6.0,6.0,6.0,False,0.6,5.0,2024-02-01,3,1,0
23A,BFGH001K771,1,1,2.0,2.0,2.0,False,0.0,1.0,2024-04-01,1,1,0
23A,BFGH001KBA,7,6,150.0,150.0,126.0,False,0.14285714285714285,7.0,2024-04-01,1,1,0
23A,BFGH001KBB,7,4,106.0,106.0,82.0,False,0.42857142857142855,7.0,2024-04-01,1,1,0
