cabang,sku,n_months,nonzero_months,total_qty,qty_12m,qty_6m,has_may24,zero_ratio_train,n_train,last_nz,months_since_last_nz,alive_recent,eligible_model
02A,AHIJ005K701,11,8,49.0,49.0,18.0,False,0.2727272727272727,11.0,2024-04-01,1,1,0
02A,AHIJ005K702,11,9,76.0,76.0,24.0,False,0.18181818181818182,11.0,2024-04-01,1,1,0
02A,AHIJ005K703,12,12,154.0,154.0,78.0,True,0.0,12.0,2024-05-01,0,1,0
02A,AHIJ005K704,12,11,111.0,111.0,64.0,True,0.08333333333333333,12.0,2024-05-01,0,1,0
02A,AHIJ005K705,6,3,16.0,16.0,16.0,False,0.5,6.0,2023-11-01,6,0,0
02A,AHIJ005K706,12,10,82.0,82.0,46.0,True,0.16666666666666666,12.0,2024-05-01,0,1,0
02A,AHIJ005K707,12,9,152.0,152.0,92.0,True,0.25,12.0,2024-05-01,0,1,0
02A,AHIJ005K708,10,4,32.0,32.0,8.0,False,0.6,10.0,2024-03-01,2,1,0
02A,AHIJ005K709,11,9,100.0,100.0,52.0,False,0.18181818181818182,11.0,2024-04-01,1,1,0
02A,AHIJ005K710,12,12,432.0,432.0,240.0,True,0.0,12.0,2024-05-01,0,1,0
02A,AHIJ005K711,10,8,44.0,44.0,18.0,False,0.2,10.0,2024-03-01,2,1,0
02A,AHIJ005K712,12,11,90.0,90.0,48.0,True,0.08333333333333333,12.0,2024-05-01,0,1,0
02A,AHIJ005K713,11,6,62.0,62.0,50.0,True,0.45454545454545453,11.0,2024-05-01,0,1,0
02A,AHIJ005K714,11,10,91.0,91.0,52.0,True,0.09090909090909091,11.0,2024-05-01,0,1,0
02A,AHIJ005K715,11,9,68.0,68.0,38.0,True,0.18181818181818182,11.0,2024-05-01,0,1,0
02A,AHIJ005K716,11,9,146.0,146.0,78.0,False,0.18181818181818182,11.0,2024-04-01,1,1,0
02A,AHIJ005K717,11,10,94.0,94.0,52.0,True,0.09090909090909091,11.0,2024-05-01,0,1,0
02A,AHIJ005K718,10,5,48.0,48.0,32.0,False,0.5,10.0,2024-04-01,1,1,0
02A,AHIJ005K719,12,12,144.0,144.0,68.0,True,0.0,12.0,2024-05-01,0,1,0
02A,AHIJ005K720,12,11,99.0,99.0,48.0,True,0.08333333333333333,12.0,2024-05-01,0,1,0
02A,AHIJ005K721,11,5,48.0,48.0,32.0,True,0.5454545454545454,11.0,2024-05-01,0,1,0
02A,AHIJ005K722,12,11,150.0,150.0,82.0,True,0.08333333333333333,12.0,2024-05-01,0,1,0
02A,AHIJ005K723,9,5,46.0,46.0,34.0,False,0.4444444444444444,9.0,2024-03-01,2,1,0
02A,AHIJ005K724,10,9,84.0,84.0,52.0,False,0.1,10.0,2024-04-01,1,1,0
02A,AHIJ005K725,9,7,415.0,415.0,382.0,True,0.2222222222222222,9.0,2024-05-01,0,1,0
02A,AHIJ005K726,1,1,4.0,4.0,4.0,False,0.0,1.0,2024-03-01,2,1,0
02A,AHIJ005KSB,12,10,127.0,127.0,55.0,True,0.16666666666666666,12.0,2024-05-01,0,1,0
02A,AHIJ005KSW,11,11,2109.0,2109.0,1088.0,True,0.0,11.0,2024-05-01,0,1,0
02A,AHIJ020KP701,10,6,18.0,18.0,13.0,False,0.4,10.0,2024-04-01,1,1,0
02A,AHIJ020KP702,10,3,4.0,4.0,2.0,False,0.7,10.0,2024-03-01,2,1,0
02A,AHIJ020KP703,10,6,18.0,18.0,10.0,False,0.4,10.0,2024-03-01,2,1,0
02A,AHIJ020KP704,10,3,6.0,6.0,2.0,False,0.7,10.0,2024-04-01,1,1,0
02A,AHIJ020KP705,4,3,5.0,5.0,5.0,False,0.25,4.0,2023-09-01,8,0,0
02A,AHIJ020KP706,11,8,15.0,15.0,8.0,False,0.2727272727272727,11.0,2024-04-01,1,1,0
02A,AHIJ020KP707,12,8,15.0,15.0,6.0,True,0.3333333333333333,12.0,2024-05-01,0,1,0
02A,AHIJ020KP708,3,2,5.0,5.0,5.0,False,0.3333333333333333,3.0,2023-09-01,8,0,0
02A,AHIJ020KP709,9,5,11.0,11.0,4.0,False,0.4444444444444444,9.0,2024-03-01,2,1,0
02A,AHIJ020KP710,12,9,59.0,59.0,22.0,True,0.25,12.0,2024-05-01,0,1,0
02A,AHIJ020KP711,1,1,2.0,2.0,2.0,False,0.0,1.0,2023-07-01,10,0,0
02A,AHIJ020KP712,9,4,10.0,10.0,6.0,False,0.5555555555555556,9.0,2024-03-01,2,1,0
02A,AHIJ020KP713,6,2,4.0,4.0,4.0,False,0.6666666666666666,6.0,2023-12-01,5,0,0
02A,AHIJ020KP714,10,4,6.0,6.0,2.0,False,0.6,10.0,2024-03-01,2,1,0
02A,AHIJ020KP715,7,4,7.0,7.0,6.0,False,0.42857142857142855,7.0,2023-12-01,5,0,0
02A,AHIJ020KP716,9,5,13.0,13.0,8.0,False,0.4444444444444444,9.0,2024-03-01,2,1,0
02A,AHIJ020KP717,8,3,3.0,3.0,1.0,False,0.625,8.0,2024-03-01,2,1,0
02A,AHIJ020KP718,6,2,7.0,7.0,7.0,False,0.6666666666666666,6.0,2024-03-01,2,1,0
02A,AHIJ020KP719,11,5,9.0,9.0,3.0,True,0.5454545454545454,11.0,2024-05-01,0,1,0
02A,AHIJ020KP720,9,5,6.0,6.0,2.0,False,0.4444444444444444,9.0,2024-03-01,2,1,0
02A,AHIJ020KP721,8,5,7.0,7.0,5.0,False,0.375,8.0,2024-03-01,2,1,0
02A,AHIJ020KP722,11,8,14.0,14.0,6.0,False,0.2727272727272727,11.0,2024-04-01,1,1,0
02A,AHIJ020KP723,8,4,12.0,12.0,11.0,False,0.5,8.0,2024-03-01,2,1,0
02A,AHIJ020KP724,6,4,8.0,8.0,8.0,False,0.3333333333333333,6.0,2024-01-01,4,0,0
02A,AHIJ020KP725,9,6,32.0,32.0,30.0,True,0.3333333333333333,9.0,2024-05-01,0,1,0
02A,AHIJ020KPSB,2,2,9.0,9.0,9.0,False,0.0,2.0,2024-02-01,3,1,0
02A,AHIJ020KPSW,12,12,481.0,481.0,179.0,True,0.0,12.0,2024-05-01,0,1,0
02A,AJKL001K11,17,17,751.0,525.0,324.0,True,0.0,17.0,2024-05-01,0,1,0
02A,AJKL001K12,17,14,152.0,89.0,66.0,True,0.17647058823529413,17.0,2024-05-01,0,1,0
02A,AJKL001K15,17,17,587.0,361.0,209.0,True,0.0,17.0,2024-05-01,0,1,0
02A,AJKL001K16,17,17,1469.0,1022.0,563.0,True,0.0,17.0,2024-05-01,0,1,0
02A,AJKL001K17,17,17,713.0,482.0,269.0,True,0.0,17.0,2024-05-01,0,1,0
02A,AJKL001K33,17,17,722.0,525.0,302.0,True,0.0,17.0,2024-05-01,0,1,0
02A,AJKL001K36,16,16,560.0,433.0,248.0,False,0.0,16.0,2024-04-01,1,1,0
02A,AJKL001K37,17,15,373.0,299.0,167.0,True,0.11764705882352941,17.0,2024-05-01,0,1,0
02A,AJKL001K38,17,17,854.0,570.0,304.0,True,0.0,17.0,2024-05-01,0,1,0
02A,AJKL001K39,16,14,208.0,147.0,62.0,False,0.125,16.0,2024-04-01,1,1,0
02A,AJKL001K41,17,16,365.0,252.0,171.0,True,0.058823529411764705,17.0,2024-05-01,0,1,0
02A,AJKL001K43,16,15,216.0,127.0,65.0,False,0.0625,16.0,2024-04-01,1,1,0
02A,AJKL001K45,17,12,218.0,124.0,66.0,True,0.29411764705882354,17.0,2024-05-01,0,1,0
02A,AJKL001K46,17,15,293.0,194.0,133.0,True,0.11764705882352941,17.0,2024-05-01,0,1,0
02A,AJKL001K47,16,13,285.0,150.0,84.0,False,0.1875,16.0,2024-04-01,1,1,0
02A,AJKL001K49,17,15,276.0,178.0,96.0,True,0.11764705882352941,17.0,2024-05-01,0,1,0
02A,AJKL001K61,17,15,332.0,192.0,121.0,True,0.11764705882352941,17.0,2024-05-01,0,1,0
02A,AJKL001K62,17,17,450.0,288.0,133.0,True,0.0,17.0,2024-05-01,0,1,0
02A,AJKL001K63,17,15,248.0,179.0,111.0,True,0.11764705882352941,17.0,2024-05-01,0,1,0
02A,AJKL001K64,17,14,267.0,147.0,87.0,True,0.17647058823529413,17.0,2024-05-01,0,1,0
02A,AJKL001K65,15,13,203.0,146.0,108.0,False,0.13333333333333333,15.0,2024-03-01,2,1,0
02A,AJKL001K66,17,14,282.0,201.0,103.0,True,0.17647058823529413,17.0,2024-05-01,0,1,0
02A,AJKL001K69,16,12,141.0,84.0,46.0,False,0.25,16.0,2024-04-01,1,1,0
02A,AJKL001K72,17,16,459.0,329.0,176.0,True,0.058823529411764705,17.0,2024-05-01,0,1,0
02A,AJKL001K77,17,16,355.0,214.0,101.0,True,0.058823529411764705,17.0,2024-05-01,0,1,0
02A,AJKL001K78,15,12,131.0,71.0,51.0,False,0.2,15.0,2024-03-01,2,1,0
02A,AJKL001K79,17,16,337.0,208.0,113.0,True,0.058823529411764705,17.0,2024-05-01,0,1,0
02A,AJKL001K88,17,17,1167.0,676.0,394.0,True,0.0,17.0,2024-05-01,0,1,0
02A,AJKL001K91,17,15,376.0,283.0,153.0,True,0.11764705882352941,17.0,2024-05-01,0,1,0
02A,AJKL001K92,17,17,676.0,467.0,356.0,True,0.0,17.0,2024-05-01,0,1,0
02A,AJKL001K98,17,16,432.0,324.0,223.0,True,0.058823529411764705,17.0,2024-05-01,0,1,0
02A,AJKL001KSB,17,17,4286.0,3053.0,1778.0,True,0.0,17.0,2024-05-01,0,1,0
02A,AJKL001KSBM,17,17,2165.0,1514.0,886.0,True,0.0,17.0,2024-05-01,0,1,0
02A,AJKL001KSW,17,17,10243.0,6872.0,4069.0,True,0.0,17.0,2024-05-01,0,1,0
02A,AJKL001KSWM,17,17,1008.0,728.0,449.0,True,0.0,17.0,2024-05-01,0,1,0
02A,AJKL001KW11,4,2,7.0,7.0,7.0,True,0.5,4.0,2024-05-01,0,1,0
02A,AJKL001KW16,1,1,2.0,2.0,2.0,True,0.0,1.0,2024-05-01,0,1,0
02A,AJKL001KW33,1,1,2.0,2.0,2.0,True,0.0,1.0,2024-05-01,0,1,0
02A,AJKL001KW36,1,1,6.0,6.0,6.0,False,0.0,1.0,2024-04-01,1,1,0
02A,AJKL001KW41,1,1,2.0,2.0,2.0,True,0.0,1.0,2024-05-01,0,1,0
02A,AJKL001KW61,1,1,6.0,6.0,6.0,False,0.0,1.0,2024-04-01,1,1,0
02A,AJKL001KW62,1,1,2.0,2.0,2.0,True,0.0,1.0,2024-05-01,0,1,0
02A,AJKL001KW72,1,1,6.0,6.0,6.0,False,0.0,1.0,2024-04-01,1,1,0
02A,AJKL001KW77,1,1,2.0,2.0,2.0,True,0.0,1.0,2024-05-01,0,1,0
02A,AJKL001KW92,1,1,6.0,6.0,6.0,False,0.0,1.0,2024-02-01,3,1,0
02A,AJKL001KWSB,4,2,13.0,13.0,13.0,True,0.5,4.0,2024-05-01,0,1,0
02A,AJKL001KWSW,4,3,19.0,19.0,19.0,True,0.25,4.0,2024-05-01,0,1,0
02A,AJKL004K11,1,1,4.0,4.0,4.0,False,0.0,1.0,2023-12-01,5,0,0
02A,AJKL004KSW,1,1,2.0,2.0,2.0,False,0.0,1.0,2023-12-01,5,0,0
02A,AJKL020KPSB,1,1,2.0,2.0,2.0,False,0.0,1.0,2023-12-01,5,0,0
02A,AJKL020KPSW,1,1,2.0,2.0,2.0,False,0.0,1.0,2023-12-01,5,0,0
02A,AJKL200C11,1,1,24.0,24.0,24.0,False,0.0,1.0,2024-02-01,3,1,0
02A,AJKL200C16,4,2,24.0,24.0,24.0,True,0.5,4.0,2024-05-01,0,1,0
02A,AJKL200C17,1,1,12.0,12.0,12.0,False,0.0,1.0,2024-03-01,2,1,0
02A,AJKL200C33,1,1,12.0,12.0,12.0,False,0.0,1.0,2024-02-01,3,1,0
02A,AJKL200C38,1,1,12.0,12.0,12.0,True,0.0,1.0,2024-05-01,0,1,0
02A,AJKL200C41,1,1,12.0,12.0,12.0,False,0.0,1.0,2024-02-01,3,1,0
02A,AJKL200C61,1,1,12.0,12.0,12.0,False,0.0,1.0,2024-03-01,2,1,0
02A,AJKL200C62,1,1,12.0,12.0,12.0,False,0.0,1.0,2024-02-01,3,1,0
02A,AJKL200C72,1,1,24.0,24.0,24.0,False,0.0,1.0,2024-02-01,3,1,0
02A,AJKL200C88,1,1,24.0,24.0,24.0,False,0.0,1.0,2024-02-01,3,1,0
02A,AJKL200C92,4,3,36.0,36.0,36.0,True,0.25,4.0,2024-05-01,0,1,0
02A,AJKL200CSB,4,4,228.0,228.0,228.0,True,0.0,4.0,2024-05-01,0,1,0
02A,AJKL200CSBM,4,3,120.0,120.0,120.0,True,0.25,4.0,2024-05-01,0,1,0
02A,AJKL200CSW,4,4,240.0,240.0,240.0,True,0.0,4.0,2024-05-01,0,1,0
02A,AKLM001K901,15,12,373.0,339.0,230.0,True,0.2,15.0,2024-05-01,0,1,0
02A,AKLM001K902,10,5,84.0,84.0,54.0,True,0.5,10.0,2024-05-01,0,1,0
02A,AKLM001K903,2,2,26.0,26.0,26.0,False,0.0,2.0,2023-10-01,7,0,0
02A,AKLM001K904,15,8,152.0,122.0,115.0,True,0.4666666666666667,15.0,2024-05-01,0,1,0
02A,AKLM005K901,9,3,26.0,26.0,2.0,True,0.6666666666666666,9.0,2024-05-01,0,1,0
02A,AKLM005K902,2,2,48.0,48.0,48.0,False,0.0,2.0,2023-09-01,8,0,0
02A,AKLM005K904,1,1,4.0,4.0,4.0,False,0.0,1.0,2023-05-01,12,0,0
02A,AKLM020KP901,15,11,78.0,70.0,36.0,True,0.26666666666666666,15.0,2024-05-01,0,1,0
02A,AKLM020KP902,3,3,40.0,40.0,40.0,False,0.0,3.0,2023-10-01,7,0,0
02A,AKLM020KP903,1,1,1.0,1.0,1.0,False,0.0,1.0,2024-02-01,3,1,0
02A,AKLM020KP904,1,1,2.0,2.0,2.0,False,0.0,1.0,2023-12-01,5,0,0
02A,ALMN001K803,3,2,32.0,32.0,32.0,False,0.3333333333333333,3.0,2023-07-01,10,0,0
02A,ALMN001KSB,1,1,6.0,6.0,6.0,True,0.0,1.0,2024-05-01,0,1,0
02A,ALMN001KSW,1,1,21.0,21.0,21.0,False,0.0,1.0,2023-09-01,8,0,0
02A,AMNO001K,17,13,286.0,212.0,147.0,True,0.23529411764705882,17.0,2024-05-01,0,1,0
02A,AMNO005K,1,0,0.0,0.0,0.0,False,0.0,0.0,,999,0,0
02A,ANOP001KSG,1,1,4.0,4.0,4.0,False,0.0,1.0,2024-04-01,1,1,0
02A,AOPQ200CA,5,4,90.0,90.0,90.0,False,0.2,5.0,2023-08-01,9,0,0
02A,AOPQ200CB,5,4,90.0,90.0,90.0,False,0.2,5.0,2023-08-01,9,0,0
02A,APQR005K010,39,19,140.0,14.0,6.0,False,0.5128205128205128,39.0,2024-03-01,2,1,0
02A,APQR005K102,41,22,135.0,34.0,14.0,True,0.4634146341463415,41.0,2024-05-01,0,1,1
02A,APQR005K104,41,23,149.0,44.0,12.0,True,0.43902439024390244,41.0,2024-05-01,0,1,1
02A,APQR005K202,39,28,192.0,46.0,22.0,False,0.28205128205128205,39.0,2024-03-01,2,1,0
02A,APQR005K203,34,7,22.0,10.0,10.0,False,0.7941176470588235,34.0,2024-01-01,4,0,0
02A,APQR005K204,33,10,54.0,9.0,3.0,False,0.696969696969697,33.0,2023-10-01,7,0,0
02A,APQR005K302,30,10,36.0,28.0,4.0,False,0.6666666666666666,30.0,2024-01-01,4,0,0
02A,APQR005K303,39,26,164.0,64.0,24.0,False,0.3333333333333333,39.0,2024-03-01,2,1,0
02A,APQR005K304,38,20,112.0,26.0,8.0,False,0.47368421052631576,38.0,2024-02-01,3,1,0
02A,APQR005K305,38,14,90.0,32.0,4.0,False,0.631578947368421,38.0,2024-03-01,2,1,0
02A,APQR005K306,37,11,68.0,36.0,12.0,False,0.7027027027027027,37.0,2024-03-01,2,1,0
02A,APQR005K307,38,21,183.0,36.0,2.0,False,0.4473684210526316,38.0,2024-03-01,2,1,0
02A,APQR005K402,39,17,100.0,16.0,12.0,False,0.5641025641025641,39.0,2024-03-01,2,1,0
02A,APQR005K403,38,17,114.0,28.0,16.0,False,0.5526315789473685,38.0,2024-03-01,2,1,0
02A,APQR005K404,39,30,285.0,60.0,20.0,False,0.23076923076923078,39.0,2024-04-01,1,1,0
02A,APQR005K405,40,23,153.0,54.0,26.0,True,0.425,40.0,2024-05-01,0,1,1
02A,APQR005K501,39,19,102.0,24.0,6.0,False,0.5128205128205128,39.0,2024-03-01,2,1,0
02A,APQR005K502,38,24,214.0,30.0,16.0,False,0.3684210526315789,38.0,2024-03-01,2,1,0
02A,APQR005K503,41,39,1202.0,170.0,102.0,True,0.04878048780487805,41.0,2024-05-01,0,1,1
02A,APQR005K504,41,37,447.0,81.0,42.0,True,0.0975609756097561,41.0,2024-05-01,0,1,1
02A,APQR005K505,1,1,2.0,2.0,2.0,False,0.0,1.0,2021-05-01,36,0,0
02A,APQR005K506,17,6,60.0,16.0,16.0,False,0.6470588235294118,17.0,2023-07-01,10,0,0
02A,APQR005K601,39,24,228.0,54.0,34.0,False,0.38461538461538464,39.0,2024-03-01,2,1,0
02A,APQR005K602,41,30,289.0,52.0,36.0,True,0.2682926829268293,41.0,2024-05-01,0,1,1
02A,APQR005K603,41,28,230.0,52.0,28.0,True,0.3170731707317073,41.0,2024-05-01,0,1,1
02A,APQR005K604,25,13,90.0,40.0,18.0,False,0.48,25.0,2024-03-01,2,1,0
02A,APQR005K701,1,1,6.0,6.0,6.0,False,0.0,1.0,2022-08-01,21,0,0
02A,APQR005K702,40,31,245.0,69.0,37.0,False,0.225,40.0,2024-04-01,1,1,0
02A,APQR005K703,37,21,137.0,48.0,28.0,False,0.43243243243243246,37.0,2024-03-01,2,1,0
02A,APQR005K801,41,25,208.0,46.0,34.0,True,0.3902439024390244,41.0,2024-05-01,0,1,1
02A,APQR005K805,30,9,36.0,4.0,4.0,False,0.7,30.0,2023-06-01,11,0,0
02A,APQR005KBA,41,41,5096.0,1151.0,664.0,True,0.0,41.0,2024-05-01,0,1,1
02A,APQR005KBB,41,41,4881.0,1152.0,673.0,True,0.0,41.0,2024-05-01,0,1,1
02A,APQR005KBC,41,41,4077.0,825.0,463.0,True,0.0,41.0,2024-05-01,0,1,1
02A,APQR005KMW,40,20,149.0,45.0,30.0,False,0.5,40.0,2024-04-01,1,1,0
02A,APQR005KSB,39,27,188.0,80.0,24.0,False,0.3076923076923077,39.0,2024-03-01,2,1,0
02A,APQR005KSW,41,41,4680.0,878.0,386.0,True,0.0,41.0,2024-05-01,0,1,1
02A,APQR020KP010,20,5,11.0,7.0,5.0,False,0.75,20.0,2022-09-01,20,0,0
02A,APQR020KP102,39,6,20.0,12.0,1.0,True,0.8461538461538461,39.0,2024-05-01,0,1,0
02A,APQR020KP104,32,5,12.0,2.0,1.0,False,0.84375,32.0,2023-10-01,7,0,0
02A,APQR020KP202,19,2,5.0,1.0,1.0,False,0.8947368421052632,19.0,2022-09-01,20,0,0
02A,APQR020KP203,1,1,1.0,1.0,1.0,False,0.0,1.0,2023-12-01,5,0,0
02A,APQR020KP204,6,3,7.0,7.0,7.0,False,0.5,6.0,2021-07-01,34,0,0
02A,APQR020KP206,1,1,3.0,3.0,3.0,False,0.0,1.0,2021-06-01,35,0,0
02A,APQR020KP302,24,5,10.0,3.0,3.0,False,0.7916666666666666,24.0,2023-07-01,10,0,0
02A,APQR020KP303,36,8,10.0,3.0,3.0,False,0.7777777777777778,36.0,2024-01-01,4,0,0
02A,APQR020KP304,34,10,23.0,5.0,3.0,False,0.7058823529411765,34.0,2023-11-01,6,0,0
02A,APQR020KP305,28,4,15.0,8.0,8.0,False,0.8571428571428571,28.0,2023-05-01,12,0,0
02A,APQR020KP306,37,7,13.0,8.0,6.0,False,0.8108108108108109,37.0,2024-01-01,4,0,0
02A,APQR020KP307,33,11,23.0,3.0,1.0,False,0.6666666666666666,33.0,2023-09-01,8,0,0
02A,APQR020KP402,7,2,2.0,2.0,1.0,False,0.7142857142857143,7.0,2024-03-01,2,1,0
02A,APQR020KP403,22,2,3.0,1.0,1.0,False,0.9090909090909091,22.0,2023-10-01,7,0,0
02A,APQR020KP404,32,12,45.0,8.0,4.0,False,0.625,32.0,2023-10-01,7,0,0
02A,APQR020KP405,32,10,18.0,7.0,3.0,False,0.6875,32.0,2023-10-01,7,0,0
02A,APQR020KP501,32,5,8.0,3.0,1.0,False,0.84375,32.0,2023-09-01,8,0,0
02A,APQR020KP502,37,11,27.0,11.0,3.0,False,0.7027027027027027,37.0,2024-02-01,3,1,0
02A,APQR020KP503,39,34,210.0,26.0,13.0,False,0.1282051282051282,39.0,2024-03-01,2,1,0
02A,APQR020KP504,38,15,38.0,9.0,1.0,False,0.6052631578947368,38.0,2024-03-01,2,1,0
02A,APQR020KP506,14,4,9.0,5.0,5.0,False,0.7142857142857143,14.0,2023-07-01,10,0,0
02A,APQR020KP601,38,4,11.0,1.0,1.0,False,0.8947368421052632,38.0,2024-03-01,2,1,0
02A,APQR020KP602,40,13,30.0,4.0,2.0,False,0.6666666666666666,39.0,2024-03-01,2,1,0
02A,APQR020KP603,33,9,21.0,4.0,2.0,False,0.7272727272727273,33.0,2023-10-01,7,0,0
02A,APQR020KP604,7,2,3.0,3.0,2.0,False,0.7142857142857143,7.0,2023-03-01,14,0,0
02A,APQR020KP702,35,7,15.0,7.0,3.0,False,0.8,35.0,2024-01-01,4,0,0
02A,APQR020KP703,32,5,18.0,1.0,1.0,False,0.84375,32.0,2023-10-01,7,0,0
02A,APQR020KP801,36,11,26.0,9.0,3.0,False,0.6944444444444444,36.0,2024-03-01,2,1,0
02A,APQR020KP805,12,4,6.0,6.0,2.0,False,0.6666666666666666,12.0,2022-01-01,28,0,0
02A,APQR020KPBA,41,41,2242.0,514.0,323.0,True,0.0,41.0,2024-05-01,0,1,1
02A,APQR020KPBB,41,41,1418.0,369.0,161.0,True,0.0,41.0,2024-05-01,0,1,1
02A,APQR020KPBC,41,40,677.0,149.0,54.0,True,0.024390243902439025,41.0,2024-05-01,0,1,1
02A,APQR020KPMW,41,7,14.0,4.0,2.0,True,0.8292682926829268,41.0,2024-05-01,0,1,0
02A,APQR020KPPROO18003,2,2,33.0,33.0,33.0,False,0.0,2.0,2022-07-01,22,0,0
02A,APQR020KPSB,32,7,13.0,6.0,6.0,False,0.78125,32.0,2023-09-01,8,0,0
02A,APQR020KPSW,41,41,1255.0,365.0,110.0,True,0.0,41.0,2024-05-01,0,1,1
02A,AQRS001K,41,41,4745.0,763.0,450.0,True,0.0,41.0,2024-05-01,0,1,1
02A,AQRS005K,41,40,1150.0,276.0,142.0,True,0.024390243902439025,41.0,2024-05-01,0,1,1
02A,AQRS025KP,40,26,73.0,25.0,8.0,False,0.35,40.0,2024-04-01,1,1,0
02A,ARST005KBA,41,37,1052.0,152.0,72.0,True,0.0975609756097561,41.0,2024-05-01,0,1,1
02A,ARST005KBB,38,32,514.0,74.0,24.0,False,0.15789473684210525,38.0,2024-03-01,2,1,0
02A,ARST005KBC,38,28,308.0,34.0,28.0,False,0.2631578947368421,38.0,2024-03-01,2,1,0
02A,ARST005KSW,39,16,108.0,4.0,4.0,False,0.5897435897435898,39.0,2024-03-01,2,1,0
02A,ARST025KPBA,40,39,493.0,151.0,91.0,True,0.025,40.0,2024-05-01,0,1,1
02A,ARST025KPBB,40,30,105.0,18.0,11.0,True,0.25,40.0,2024-05-01,0,1,1
02A,ARST025KPBC,39,20,53.0,11.0,9.0,True,0.48717948717948717,39.0,2024-05-01,0,1,1
02A,ARST025KPPROO7001,1,1,1.0,1.0,1.0,False,0.0,1.0,2022-02-01,27,0,0
02A,ARST025KPSW,34,9,33.0,16.0,13.0,False,0.7352941176470589,34.0,2023-12-01,5,0,0
02A,ATUV005K614,35,9,36.0,20.0,12.0,False,0.7428571428571429,35.0,2024-01-01,4,0,0
02A,ATUV005K641,38,14,73.0,26.0,22.0,False,0.631578947368421,38.0,2024-04-01,1,1,0
02A,ATUV005K643,32,7,28.0,12.0,4.0,False,0.78125,32.0,2023-09-01,8,0,0
02A,ATUV005K660,41,32,286.0,62.0,24.0,True,0.21951219512195122,41.0,2024-05-01,0,1,1
02A,ATUV005K661,41,32,386.0,82.0,54.0,True,0.21951219512195122,41.0,2024-05-01,0,1,1
02A,ATUV005K662,33,26,159.0,54.0,34.0,False,0.21212121212121213,33.0,2023-10-01,7,0,0
02A,ATUV005K663,41,33,437.0,60.0,40.0,True,0.1951219512195122,41.0,2024-05-01,0,1,1
02A,ATUV005K670,39,4,16.0,0.0,0.0,True,0.84,25.0,2023-03-01,14,0,0
02A,ATUV005K680,32,8,39.0,13.0,9.0,False,0.75,32.0,2023-10-01,7,0,0
02A,ATUV005K681,41,32,392.0,112.0,78.0,True,0.21951219512195122,41.0,2024-05-01,0,1,1
02A,ATUV005K683,40,12,82.0,28.0,20.0,True,0.7,40.0,2024-05-01,0,1,1
02A,ATUV005K685,41,27,220.0,53.0,33.0,True,0.34146341463414637,41.0,2024-05-01,0,1,1
02A,ATUV005K686,41,38,628.0,150.0,94.0,True,0.07317073170731707,41.0,2024-05-01,0,1,1
02A,ATUV005K687,29,3,11.0,4.0,4.0,False,0.896551724137931,29.0,2023-07-01,10,0,0
02A,ATUV005K688,37,9,36.0,12.0,8.0,False,0.7567567567567568,37.0,2024-03-01,2,1,0
02A,ATUV005K690,41,38,652.0,136.0,68.0,True,0.07317073170731707,41.0,2024-05-01,0,1,1
02A,ATUV005K691,41,38,523.0,108.0,60.0,True,0.07317073170731707,41.0,2024-05-01,0,1,1
02A,ATUV005K694,39,26,156.0,58.0,40.0,True,0.3333333333333333,39.0,2024-05-01,0,1,1
02A,ATUV005KMW,38,14,84.0,12.0,12.0,False,0.631578947368421,38.0,2024-03-01,2,1,0
02A,ATUV005KSW,41,41,5331.0,2067.0,1428.0,True,0.0,41.0,2024-05-01,0,1,1
02A,ATUV020KP614,29,11,20.0,6.0,4.0,False,0.6206896551724138,29.0,2023-07-01,10,0,0
02A,ATUV020KP641,25,8,15.0,7.0,4.0,False,0.68,25.0,2023-03-01,14,0,0
02A,ATUV020KP643,36,8,17.0,4.0,2.0,False,0.7777777777777778,36.0,2024-01-01,4,0,0
02A,ATUV020KP660,39,5,8.0,1.0,1.0,True,0.8717948717948718,39.0,2024-05-01,0,1,0
02A,ATUV020KP661,36,12,28.0,11.0,7.0,False,0.6666666666666666,36.0,2023-12-01,5,0,0
02A,ATUV020KP662,35,8,17.0,5.0,5.0,False,0.7714285714285715,35.0,2024-01-01,4,0,0
02A,ATUV020KP663,39,14,36.0,5.0,2.0,True,0.6410256410256411,39.0,2024-05-01,0,1,1
02A,ATUV020KP670,25,5,9.0,5.0,5.0,False,0.8,25.0,2023-03-01,14,0,0
02A,ATUV020KP680,33,7,16.0,7.0,5.0,False,0.7878787878787878,33.0,2023-10-01,7,0,0
02A,ATUV020KP681,39,7,14.0,4.0,4.0,True,0.8205128205128205,39.0,2024-05-01,0,1,0
02A,ATUV020KP683,28,6,18.0,3.0,1.0,False,0.7857142857142857,28.0,2023-05-01,12,0,0
02A,ATUV020KP685,34,5,12.0,6.0,3.0,False,0.8529411764705882,34.0,2023-12-01,5,0,0
02A,ATUV020KP686,34,9,21.0,7.0,5.0,False,0.7352941176470589,34.0,2023-12-01,5,0,0
02A,ATUV020KP688,26,7,11.0,7.0,7.0,False,0.7307692307692307,26.0,2023-04-01,13,0,0
02A,ATUV020KP690,39,18,53.0,24.0,13.0,False,0.5384615384615384,39.0,2024-03-01,2,1,0
02A,ATUV020KP691,37,18,42.0,15.0,7.0,False,0.5135135135135135,37.0,2024-01-01,4,0,0
