periode,cabang,event_flag,holiday_count,rainfall
2021-01-01,02A,0,1,0.0
2021-02-01,02A,0,1,0.0
2021-03-01,02A,0,4,0.0
2021-04-01,02A,0,3,0.0
2021-05-01,02A,0,5,0.0
2021-06-01,02A,1,1,0.0
2021-07-01,02A,0,1,0.0
2021-08-01,02A,0,2,0.0
2021-09-01,02A,0,0,0.0
2021-10-01,02A,0,1,0.0
2021-11-01,02A,1,0,0.0
2021-12-01,02A,0,1,0.0
2022-01-01,02A,0,1,0.0
2022-02-01,02A,0,2,0.0
2022-03-01,02A,1,1,0.0
2022-04-01,02A,0,2,0.0
2022-05-01,02A,0,8,0.0
2022-06-01,02A,0,1,0.0
2022-07-01,02A,0,2,0.0
2022-08-01,02A,0,1,0.0
2022-09-01,02A,1,0,0.0
2022-10-01,02A,0,1,0.0
2022-11-01,02A,1,0,0.0
2022-12-01,02A,0,1,0.0
2023-01-01,02A,0,3,0.0
2023-02-01,02A,0,1,0.0
2023-03-01,02A,1,2,0.0
2023-04-01,02A,0,8,0.0
2023-05-01,02A,0,2,0.0
2023-06-01,02A,1,6,0.0
2023-07-01,02A,0,1,0.0
2023-08-01,02A,0,1,0.0
2023-09-01,02A,1,1,0.0
2023-10-01,02A,0,0,0.0
2023-11-01,02A,0,0,0.0
2023-12-01,02A,0,2,0.0
2024-01-01,02A,0,1,0.0
2024-02-01,02A,0,3,0.0
2024-03-01,02A,1,4,0.0
2024-04-01,02A,0,6,0.0
2024-05-01,02A,0,5,0.0
2024-06-01,02A,0,3,0.0
2024-07-01,02A,0,1,0.0
2024-08-01,02A,1,1,0.0
2024-09-01,02A,0,1,0.0
2024-10-01,02A,0,0,0.0
2021-01-01,05A,0,1,0.0
2021-02-01,05A,0,1,0.0
2021-03-01,05A,0,4,0.0
2021-04-01,05A,1,3,0.0
2021-05-01,05A,0,5,0.0
2021-06-01,05A,0,1,0.0
2021-07-01,05A,0,1,0.0
2021-08-01,05A,0,2,0.0
